Basketball Matches (live) - 2025-10-24 17:27:54
============================================================

Ventspils vs Latvijas Universitate
  1: 1.31 @ AUTO
  2: 3.7 @ AUTO
  H1: 1.95 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.87 @ AUTO
  Under: 156.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Final Genclik vs Ankara Kolejliler
  1: 2.0 @ AUTO
  2: 1.76 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 1.5 @ AUTO
  H2: 1.86 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 158.5 @ AUTO
  Over: 1.82 @ AUTO

Koping Stars vs Norrkoping
  1: 4.7 @ AUTO
  2: 1.22 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.85 @ AUTO
  Under: 1.94 @ AUTO
  Handicap2: 172.5 @ AUTO
  Over: 1.85 @ AUTO

Boras vs Jamtland
  1: 1.3 @ AUTO
  2: 3.8 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 1.93 @ AUTO
  Under: 170.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Nassjo vs Sloga Uppsala
  1: 1.29 @ AUTO
  2: 4.1 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 1.93 @ AUTO
  Under: 173.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Anadolu Efes vs Fenerbahce
  1: 1.85 @ AUTO
  2: 2.1 @ AUTO
  H1: 2.1 @ AUTO
  Handicap: 1.95 @ AUTO
  H2: 1.96 @ AUTO
  Under: 164.5 @ AUTO
  Handicap2: 1.93 @ AUTO

Virtus Bologna vs Panathinaikos
  1: 3.0 @ AUTO
  2: 1.53 @ AUTO
  H1: 1.86 @ AUTO
  Handicap: 5.5 @ AUTO
  H2: 2.02 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 168.5 @ AUTO
  Over: 1.96 @ AUTO

Hyeres Toulon vs BC Gries Souffel
  1: 1.75 @ AUTO
  2: 2.04 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.87 @ AUTO
  Under: 159.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Oldenburg vs TBB Trier
  1: 1.67 @ AUTO
  2: 2.31 @ AUTO
  H1: 1.99 @ AUTO
  Handicap: 1.96 @ AUTO
  H2: 1.91 @ AUTO
  Under: 173.5 @ AUTO
  Handicap2: 1.95 @ AUTO

Ujap Quimper 29 vs Orleans
  1: 3.3 @ AUTO
  2: 1.34 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 6.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 155.5 @ AUTO
  Over: 1.88 @ AUTO

Rotterdam City Basketball vs Spirou Charleroi
  1: 8.0 @ AUTO
  2: 1.09 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 13.5 @ AUTO
  H2: 1.95 @ AUTO
  Under: 1.95 @ AUTO
  Handicap2: 162.5 @ AUTO
  Over: 1.9 @ AUTO

Evreux vs Pau Orthez
  1: 3.7 @ AUTO
  2: 1.31 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 7.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.92 @ AUTO
  Handicap2: 164.5 @ AUTO
  Over: 1.85 @ AUTO

Torino vs Urania Milano
  1: 1.47 @ AUTO
  2: 2.55 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.87 @ AUTO
  Under: 155.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Roanne vs Vendee Challans Basket
  1: 1.05 @ AUTO
  2: 11.4 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.87 @ AUTO
  Under: 161.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Ada Blois vs Rouen
  1: 1.16 @ AUTO
  2: 5.5 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.92 @ AUTO
  H2: 1.84 @ AUTO
  Under: 158.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Miasto Szkla Krosno vs Torun
  1: 2.1 @ AUTO
  2: 1.74 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 1.95 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 167.5 @ AUTO
  Over: 1.88 @ AUTO

Vichy Clermont vs Aix Maurienne
  1: 1.35 @ AUTO
  2: 3.3 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.93 @ AUTO
  Under: 162.5 @ AUTO
  Handicap2: 1.83 @ AUTO

Antibes vs Nantes
  1: 1.22 @ AUTO
  2: 4.7 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.92 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Surrey Scorchers vs Leicester Riders
  1: 2.41 @ AUTO
  2: 1.62 @ AUTO
  H1: 1.83 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 1.98 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 168.5 @ AUTO
  Over: 1.95 @ AUTO

Kortrijk Spurs Hse A vs Donar Groningen
  1: 1.4 @ AUTO
  2: 2.9 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.88 @ AUTO
  Under: 167.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Limburg United vs Den Bosch Basketball
  1: 1.74 @ AUTO
  2: 2.04 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.9 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Partizan vs Paris
  1: 1.55 @ AUTO
  2: 2.75 @ AUTO
  H1: 1.99 @ AUTO
  Handicap: 2.05 @ AUTO
  H2: 1.95 @ AUTO
  Under: 177.5 @ AUTO
  Handicap2: 2.01 @ AUTO

Bristol Flyers vs Cheshire Phoenix
  1: 1.49 @ AUTO
  2: 2.49 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.87 @ AUTO
  H2: 1.95 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Chalons Reims vs Poitiers
  1: 1.82 @ AUTO
  2: 2.04 @ AUTO
  H1: 1.97 @ AUTO
  Handicap: 1.73 @ AUTO
  H2: 1.95 @ AUTO
  Under: 162.5 @ AUTO
  Handicap2: 1.86 @ AUTO

St Chamond vs Stade Rochelais Basket
  1: 2.05 @ AUTO
  2: 1.73 @ AUTO
  H1: 1.77 @ AUTO
  Handicap: 1.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.86 @ AUTO
  Handicap2: 165.5 @ AUTO
  Over: 1.88 @ AUTO

Limoges vs Saint Quentin
  1: 1.61 @ AUTO
  2: 2.42 @ AUTO
  H1: 2.02 @ AUTO
  Handicap: 1.95 @ AUTO
  H2: 1.95 @ AUTO
  Under: 164.5 @ AUTO
  Handicap2: 1.87 @ AUTO

Bayern Munich vs Olympiacos
  1: 2.85 @ AUTO
  2: 1.55 @ AUTO
  H1: 1.91 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 2.0 @ AUTO
  Under: 1.91 @ AUTO
  Handicap2: 166.5 @ AUTO
  Over: 1.96 @ AUTO

Stjarnan vs IR Reykjavik
  1: 1.13 @ AUTO
  2: 5.7 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.9 @ AUTO
  Under: 180.5 @ AUTO
  Handicap2: 1.87 @ AUTO

IA Akranes vs Alftanes
  1: 2.75 @ AUTO
  2: 1.4 @ AUTO
  H1: 1.86 @ AUTO
  Handicap: 5.5 @ AUTO
  H2: 1.85 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 185.5 @ AUTO
  Over: 1.8 @ AUTO

Paulistano vs Franca
  1: 3.8 @ AUTO
  2: 1.28 @ AUTO
  H1: 1.83 @ AUTO
  Handicap: 7.5 @ AUTO
  H2: 1.83 @ AUTO
  Under: 1.85 @ AUTO
  Handicap2: 156.5 @ AUTO
  Over: 1.9 @ AUTO

Toronto Raptors vs Milwaukee Bucks
  1: 1.87 @ AUTO
  2: 2.06 @ AUTO
  H1: 2.18 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 1.96 @ AUTO
  Under: 1.96 @ AUTO

Orlando Magic vs Atlanta
  1: 1.55 @ AUTO
  2: 2.77 @ AUTO
  H1: 2.01 @ AUTO
  Handicap: 2.03 @ AUTO
  H2: 2.0 @ AUTO
  Under: 1.9 @ AUTO

Vasco Da Gama vs Unifacisa
  1: 4.1 @ AUTO
  2: 1.23 @ AUTO
  H1: 1.73 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.95 @ AUTO
  Handicap2: 153.5 @ AUTO
  Over: 1.87 @ AUTO

New York Knicks vs Boston
  1: 1.65 @ AUTO
  2: 2.42 @ AUTO
  H1: 2.0 @ AUTO
  Handicap: 1.96 @ AUTO
  H2: 1.92 @ AUTO
  Under: 1.98 @ AUTO

Brooklyn Nets vs Cleveland Cavaliers
  1: 6.1 @ AUTO
  2: 1.18 @ AUTO
  H1: 1.95 @ AUTO
  Handicap: 11.5 @ AUTO
  H2: 1.97 @ AUTO
  Under: 1.96 @ AUTO
  Handicap2: 1.96 @ AUTO

Memphis vs Miami
  1: 1.76 @ AUTO
  2: 2.28 @ AUTO
  H1: 2.08 @ AUTO
  Handicap: 1.96 @ AUTO
  H2: 2.04 @ AUTO
  Under: 1.97 @ AUTO

Houston Rockets vs Detroit Pistons
  1: 1.43 @ AUTO
  2: 3.5 @ AUTO
  H1: 1.96 @ AUTO
  Handicap: 1.96 @ AUTO
  H2: 2.01 @ AUTO
  Under: 1.91 @ AUTO

New Orleans Pelicans vs San Antonio Spurs
  1: 2.74 @ AUTO
  2: 1.57 @ AUTO
  H1: 1.78 @ AUTO
  Handicap: 5.5 @ AUTO
  H2: 2.15 @ AUTO
  Under: 1.94 @ AUTO
  Handicap2: 1.98 @ AUTO

Union de Santa Fe vs Platense
  1: 1.45 @ AUTO
  2: 2.8 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.92 @ AUTO
  Under: 160.5 @ AUTO
  Handicap2: 1.93 @ AUTO

Dallas Mavericks vs Washington Wizards
  1: 1.22 @ AUTO
  2: 5.25 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 2.06 @ AUTO
  H2: 1.95 @ AUTO
  Under: 1.97 @ AUTO

La Union vs Argentino Junin
  1: 1.07 @ AUTO
  2: 11.4 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 1.86 @ AUTO
  H2: 1.95 @ AUTO
  Under: 162.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Sacramento vs Utah Jazz
  1: 1.52 @ AUTO
  2: 2.77 @ AUTO
  H1: 2.01 @ AUTO
  Handicap: 1.91 @ AUTO
  H2: 1.95 @ AUTO
  Under: 1.99 @ AUTO

LA Lakers vs Minnesota Timberwolves
  1: 2.28 @ AUTO
  2: 1.75 @ AUTO
  H1: 1.83 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 2.08 @ AUTO
  Under: 1.96 @ AUTO
  Handicap2: 1.96 @ AUTO

Portland Trail Blazers vs Golden State Warriors
  1: 2.06 @ AUTO
  2: 1.88 @ AUTO
  H1: 1.81 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 2.14 @ AUTO
  Under: 1.94 @ AUTO
  Handicap2: 1.98 @ AUTO

LA Clippers vs Phoenix
  1: 1.25 @ AUTO
  2: 4.7 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.99 @ AUTO
  H2: 2.03 @ AUTO
  Under: 1.9 @ AUTO

Mobis Phoebus vs LG Sakers
  1: 2.15 @ AUTO
  2: 1.67 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 149.5 @ AUTO
  Over: 1.86 @ AUTO

Daegu Pegasus vs KCC Egis
  1: 2.24 @ AUTO
  2: 1.63 @ AUTO
  H1: 1.82 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 1.95 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 152.5 @ AUTO
  Over: 1.88 @ AUTO

Saga Ballooners vs Koshigaya Alphas
  1: 1.47 @ AUTO
  2: 2.9 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.9 @ AUTO
  Under: 152.5 @ AUTO
  Handicap2: 1.87 @ AUTO

Akita Northern Happinets vs Shimane Susanoo Magic
  1: 3.3 @ AUTO
  2: 1.34 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 6.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 159.5 @ AUTO
  Over: 1.85 @ AUTO

Yokohama B Corsairs vs Ibaraki Robots
  1: 1.52 @ AUTO
  2: 2.55 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.93 @ AUTO
  Under: 152.5 @ AUTO
  Handicap2: 1.83 @ AUTO

Toyama Grouses vs Nagasaki Velca
  1: 4.7 @ AUTO
  2: 1.2 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.88 @ AUTO
  Under: 1.95 @ AUTO
  Handicap2: 171.5 @ AUTO
  Over: 1.83 @ AUTO

Hokkaido vs Sendai 89Ers
  1: 1.58 @ AUTO
  2: 2.42 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.88 @ AUTO
  Under: 160.5 @ AUTO
  Handicap2: 1.9 @ AUTO

San En NeoPhoenix vs Brave Thunders
  1: 1.12 @ AUTO
  2: 7.1 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.85 @ AUTO
  Under: 169.5 @ AUTO
  Handicap2: 1.9 @ AUTO

SeaHorses Mikawa vs Fighting Eagles Nagoya
  1: 1.42 @ AUTO
  2: 2.9 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.82 @ AUTO
  Under: 164.5 @ AUTO
  Handicap2: 1.92 @ AUTO

Utsunomiya Brex vs Shiga Lake Stars
  1: 1.1 @ AUTO
  2: 7.1 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.9 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.86 @ AUTO

Kyoto Hannarizu vs Alvark
  1: 3.3 @ AUTO
  2: 1.37 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 6.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.87 @ AUTO
  Handicap2: 149.5 @ AUTO
  Over: 1.9 @ AUTO

Brisbane Bullets vs South East Melbourne
  1: 2.42 @ AUTO
  2: 1.6 @ AUTO
  H1: 1.8 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 186.5 @ AUTO
  Over: 1.87 @ AUTO

Osaka Evessa vs Hiroshima Dragonflies
  1: 2.55 @ AUTO
  2: 1.51 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 169.5 @ AUTO
  Over: 1.85 @ AUTO

Seoul Thunders vs Wonju DB
  1: 2.11 @ AUTO
  2: 1.69 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 155.5 @ AUTO
  Over: 1.85 @ AUTO

Perth vs Illawarra Hawks
  1: 1.47 @ AUTO
  2: 2.9 @ AUTO
  H1: 1.92 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.92 @ AUTO
  Under: 185.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Enisey Krasnoyarsk vs BK Uralmash Yekaterinburg
  1: 2.99 @ AUTO
  2: 1.41 @ AUTO
  H1: 1.97 @ AUTO
  Handicap: 5.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.93 @ AUTO
  Handicap2: 157.5 @ AUTO
  Over: 1.91 @ AUTO

Ryukyu vs Gunma Crane Thunders
  1: 1.62 @ AUTO
  2: 2.42 @ AUTO
  H1: 1.98 @ AUTO
  Handicap: 1.81 @ AUTO
  H2: 1.83 @ AUTO
  Under: 156.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Magnolia Hotshots vs Columbian Dyip
  1: 1.05 @ AUTO
  2: 15.0 @ AUTO
  H1: 1.96 @ AUTO
  Handicap: 1.86 @ AUTO
  H2: 1.93 @ AUTO
  Under: 191.5 @ AUTO
  Handicap2: 1.8 @ AUTO

Bahcesehir Koleji vs Esenler Erokspor
  1: 1.14 @ AUTO
  2: 6.9 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.92 @ AUTO
  H2: 1.95 @ AUTO
  Under: 167.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Chiba vs Sun Rockers
  1: 1.24 @ AUTO
  2: 4.1 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.92 @ AUTO
  Under: 157.5 @ AUTO
  Handicap2: 1.85 @ AUTO

CSKA Moscow vs Unics Kazan
  1: 1.41 @ AUTO
  2: 3.24 @ AUTO
  H1: 2.05 @ AUTO
  Handicap: 2.01 @ AUTO
  H2: 2.0 @ AUTO
  Under: 164.5 @ AUTO
  Handicap2: 1.97 @ AUTO

Converge Fiberxers vs Phoenix Fuelmasters
  1: 1.25 @ AUTO
  2: 4.1 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.83 @ AUTO
  H2: 1.82 @ AUTO
  Under: 1.89 @ AUTO

Harem Spor vs Kahramanmaras Istiklal
  1: 2.55 @ AUTO
  2: 1.45 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 1.8 @ AUTO
  Under: 1.84 @ AUTO
  Handicap2: 162.5 @ AUTO
  Over: 1.75 @ AUTO

Tofas vs Buyukcekmece Basketbol
  1: 1.11 @ AUTO
  2: 8.25 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.87 @ AUTO
  H2: 1.95 @ AUTO
  Under: 172.5 @ AUTO
  Handicap2: 1.95 @ AUTO

STK Czarni Slupsk vs Lublin
  1: 2.04 @ AUTO
  2: 1.83 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 2.05 @ AUTO
  Under: 1.87 @ AUTO
  Handicap2: 163.5 @ AUTO
  Over: 1.92 @ AUTO

Honka Espoo vs Kouvot Kouvola
  1: 1.74 @ AUTO
  2: 2.04 @ AUTO
  H1: 1.97 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.88 @ AUTO
  Under: 183.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Randers vs Amager
  1: 1.02 @ AUTO
  2: 12.0 @ AUTO
  H1: 1.84 @ AUTO
  Handicap: 1.87 @ AUTO
  H2: 1.85 @ AUTO
  Under: 185.5 @ AUTO
  Handicap2: 1.86 @ AUTO

Silute vs Vilnius MRU
  1: 1.82 @ AUTO
  2: 1.95 @ AUTO
  H1: 1.65 @ AUTO
  Handicap: 1.7 @ AUTO
  H2: 1.85 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Vilniaus Stekas vs Plunges Olimpas
  1: 1.73 @ AUTO
  2: 2.0 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.66 @ AUTO
  H2: 1.87 @ AUTO
  Under: 168.5 @ AUTO
  Handicap2: 1.87 @ AUTO

Kaposvari Kk vs Egis Kormend
  1: 1.32 @ AUTO
  2: 3.7 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.82 @ AUTO
  H2: 1.88 @ AUTO
  Under: 180.5 @ AUTO
  Handicap2: 1.87 @ AUTO

Juventus vs Lietkabelis
  1: 2.18 @ AUTO
  2: 1.65 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 170.5 @ AUTO
  Over: 1.85 @ AUTO

Cayirova Belediyesi vs Balikesir Belediye Spor
  1: 1.07 @ AUTO
  2: 7.0 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.82 @ AUTO
  H2: 1.85 @ AUTO
  Under: 168.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Pyrinto Tampere vs Kataja
  1: 1.5 @ AUTO
  2: 2.55 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.85 @ AUTO
  Under: 164.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Ttu Kk vs Tartu Ulikool
  1: 3.3 @ AUTO
  2: 1.34 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 6.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 163.5 @ AUTO
  Over: 1.85 @ AUTO

Panionios vs Aris
  1: 1.76 @ AUTO
  2: 2.07 @ AUTO
  H1: 2.0 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.95 @ AUTO
  Under: 161.5 @ AUTO
  Handicap2: 1.91 @ AUTO

AS Karditsas vs Kolossos Rhodes
  1: 1.39 @ AUTO
  2: 3.0 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.8 @ AUTO
  H2: 1.92 @ AUTO
  Under: 158.5 @ AUTO
  Handicap2: 1.87 @ AUTO

Zadar vs Spartak Subotica
  1: 2.35 @ AUTO
  2: 1.81 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 2.0 @ AUTO
  Under: 1.91 @ AUTO
  Handicap2: 163.5 @ AUTO
  Over: 1.92 @ AUTO

Iraklis 2022 vs AEK Athens
  1: 2.95 @ AUTO
  2: 1.42 @ AUTO
  H1: 1.78 @ AUTO
  Handicap: 5.5 @ AUTO
  H2: 1.92 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 164.5 @ AUTO
  Over: 1.9 @ AUTO

Le Mans vs Le Portel
  1: 1.17 @ AUTO
  2: 5.7 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 2.01 @ AUTO
  H2: 1.9 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.93 @ AUTO

Gravelines Dunkerque vs Nancy
  1: 1.88 @ AUTO
  2: 2.04 @ AUTO
  H1: 2.0 @ AUTO
  Handicap: 1.83 @ AUTO
  H2: 1.95 @ AUTO
  Under: 171.5 @ AUTO
  Handicap2: 1.93 @ AUTO

Dijon vs Strasbourg IG
  1: 1.46 @ AUTO
  2: 2.9 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.92 @ AUTO
  Under: 163.5 @ AUTO
  Handicap2: 1.92 @ AUTO

JL Bourg vs Cholet
  1: 1.51 @ AUTO
  2: 2.64 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.93 @ AUTO
  H2: 1.9 @ AUTO
  Under: 170.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Vechta vs Bonn
  1: 1.72 @ AUTO
